code,name,industry
002144,宏达高科,['纺织行业']
002145,中核钛白,['化工行业']
002146,荣盛发展,['房地产']
002147,新光圆成,['机械行业']
002148,北纬通信,['电子信息']
002149,西部材料,['有色金属']
002150,通润装备,['机械行业']
002151,北斗星通,['电子信息']
002152,广电运通,['电子信息']
002153,石基信息,['电子信息']
002154,报 喜 鸟,['服装鞋类']
002155,湖南黄金,['有色金属']
002156,通富微电,['电子器件']
002157,正邦科技,['农林牧渔']
002158,汉钟精机,['机械行业']
002159,三特索道,['酒店旅游']
002160,常铝股份,['有色金属']
002161,远 望 谷,['电子信息']
002162,悦心健康,['陶瓷行业']
002163,中航三鑫,['建筑建材']
002164,宁波东力,['电器行业']
002165,红 宝 丽,['化工行业']
002166,莱茵生物,['生物制药']
002167,东方锆业,['有色金属']
002168,深圳惠程,['发电设备']
002169,智光电气,['发电设备']
002170,芭田股份,['农药化肥']
002171,楚江新材,['有色金属']
002172,澳洋科技,['化纤行业']
002173,*ST创疗,['农林牧渔']
002174,游族网络,['电子信息']
002175,东方网络,['仪器仪表']
002176,江特电机,['电器行业']
002177,御银股份,['电子信息']
002178,延华智能,['建筑建材']
002179,中航光电,['电子器件']
002180,艾派克,['电子信息']
002181,粤 传 媒,['传媒娱乐']
002182,云海金属,['有色金属']
002183,怡 亚 通,['交通运输']
002184,海得控制,['电子信息']
002185,华天科技,['电子器件']
002186,全 聚 德,['酒店旅游']
002187,广百股份,['商业百货']
002188,巴士在线,['电子器件']
002189,利达光电,['电子器件']
002190,成飞集成,['汽车制造']
002191,劲嘉股份,['印刷包装']
002192,融捷股份,['化工行业']
002193,山东如意,['纺织行业']
002194,武汉凡谷,['电子信息']
002195,二三四五,['电子信息']
002196,方正电机,['纺织机械']
002197,证通电子,['仪器仪表']
002198,嘉应制药,['生物制药']
002199,*ST东晶,['电子器件']
002200,云投生态,['环保行业']
002201,九鼎新材,['化工行业']
002202,金风科技,['发电设备']
002203,海亮股份,['有色金属']
002204,大连重工,['机械行业']
002205,国统股份,['建筑建材']
002206,海 利 得,['化纤行业']
002207,准油股份,['石油行业']
002208,合肥城建,['房地产']
002209,达 意 隆,['机械行业']
002210,飞马国际,['交通运输']
002211,宏达新材,['化工行业']
002212,南洋股份,['发电设备']
002213,特 尔 佳,['汽车制造']
002214,大立科技,['仪器仪表']
002215,诺 普 信,['农药化肥']
002216,三全食品,['食品行业']
002217,合力泰,['化工行业']
002218,拓日新能,['电子器件']
002219,恒康医疗,['生物制药']
002220,天宝股份,['食品行业']
002221,东华能源,['石油行业']
002222,福晶科技,['电子器件']
002223,鱼跃医疗,['医疗器械']
002224,三 力 士,['化工行业']
002225,濮耐股份,['建筑建材']
002226,江南化工,['化工行业']
002227,奥 特 迅,['发电设备']
002228,合兴包装,['印刷包装']
002229,鸿博股份,['印刷包装']
002230,科大讯飞,['电子信息']
002231,奥维通信,['电子信息']
002232,启明信息,['电子信息']
002233,塔牌集团,['水泥行业']
002234,民和股份,['农林牧渔']
002235,安妮股份,['造纸行业']
002236,大华股份,['仪器仪表']
002237,恒邦股份,['有色金属']
002238,天威视讯,['传媒娱乐']
002239,奥特佳,['服装鞋类']
002240,威华股份,['家具行业']
