code,name,date,weight
000050,深天马Ａ,2016-08-01,0.28
600053,九鼎投资,2016-08-01,0.12
002358,森源电气,2016-08-01,0.18
600545,新疆城建,2016-08-01,0.1
600409,三友化工,2016-08-01,0.21
300072,三聚环保,2016-08-01,0.53
600809,山西汾酒,2016-08-01,0.15
600874,创业环保,2016-08-01,0.09
600594,益佰制药,2016-08-01,0.28
600067,冠城大通,2016-08-01,0.19
600266,北京城建,2016-08-01,0.31
002074,国轩高科,2016-08-01,0.25
002663,普邦股份,2016-08-01,0.17
002588,史丹利,2016-08-01,0.16
601886,江河集团,2016-08-01,0.13
600717,天津港,2016-08-01,0.23
002353,杰瑞股份,2016-08-01,0.22
600004,白云机场,2016-08-01,0.17
002217,合力泰,2016-08-01,0.21
002508,老板电器,2016-08-01,0.39
601929,吉视传媒,2016-08-01,0.24
600869,智慧能源,2016-08-01,0.17
000062,深圳华强,2016-08-01,0.15
000685,中山公用,2016-08-01,0.2
600456,宝钛股份,2016-08-01,0.11
600572,康恩贝,2016-08-01,0.23
002056,横店东磁,2016-08-01,0.16
601126,四方股份,2016-08-01,0.1
600428,中远海特,2016-08-01,0.13
002267,陕天然气,2016-08-01,0.12
000401,冀东水泥,2016-08-01,0.15
300010,立思辰,2016-08-01,0.22
600160,巨化股份,2016-08-01,0.25
000616,海航投资,2016-08-01,0.2
002254,泰和新材,2016-08-01,0.16
002477,雏鹰农牧,2016-08-01,0.23
600850,华东电脑,2016-08-01,0.15
600584,长电科技,2016-08-01,0.47
600351,亚宝药业,2016-08-01,0.15
000028,国药一致,2016-08-01,0.23
002308,威创股份,2016-08-01,0.26
000581,威孚高科,2016-08-01,0.27
300039,上海凯宝,2016-08-01,0.14
600773,西藏城投,2016-08-01,0.18
002050,三花智控,2016-08-01,0.17
601000,唐山港,2016-08-01,0.17
300043,星辉娱乐,2016-08-01,0.22
002572,索菲亚,2016-08-01,0.39
600426,华鲁恒升,2016-08-01,0.22
600639,浦东金桥,2016-08-01,0.14
002311,海大集团,2016-08-01,0.25
000600,建投能源,2016-08-01,0.18
000937,冀中能源,2016-08-01,0.18
600240,华业资本,2016-08-01,0.3
002503,搜于特,2016-08-01,0.13
601666,平煤股份,2016-08-01,0.13
600422,昆药集团,2016-08-01,0.21
600643,爱建集团,2016-08-01,0.33
600260,凯乐科技,2016-08-01,0.2
600761,安徽合力,2016-08-01,0.13
300202,聚龙股份,2016-08-01,0.18
300166,东方国信,2016-08-01,0.24
600635,大众公用,2016-08-01,0.33
002414,高德红外,2016-08-01,0.16
000598,兴蓉环境,2016-08-01,0.26
002498,汉缆股份,2016-08-01,0.16
000830,鲁西化工,2016-08-01,0.13
000541,佛山照明,2016-08-01,0.17
600823,世茂股份,2016-08-01,0.15
600108,亚盛集团,2016-08-01,0.21
600881,亚泰集团,2016-08-01,0.23
002078,太阳纸业,2016-08-01,0.2
600216,浙江医药,2016-08-01,0.25
600086,东方金钰,2016-08-01,0.18
000612,焦作万方,2016-08-01,0.17
600017,日照港,2016-08-01,0.2
600720,祁连山,2016-08-01,0.12
600062,华润双鹤,2016-08-01,0.19
000860,顺鑫农业,2016-08-01,0.24
002714,牧原股份,2016-08-01,0.29
002327,富安娜,2016-08-01,0.1
002354,天神娱乐,2016-08-01,0.17
000078,海王生物,2016-08-01,0.29
002698,博实股份,2016-08-01,0.1
002001,新 和 成,2016-08-01,0.34
000919,金陵药业,2016-08-01,0.11
600460,士兰微,2016-08-01,0.14
600812,华北制药,2016-08-01,0.14
