code,name,date,weight
601992,金隅股份,2016-08-01,0.12
600208,新湖中宝,2016-08-01,0.17
300070,碧水源,2016-08-01,0.32
600100,同方股份,2016-08-01,0.32
601919,中远海控,2016-08-01,0.23
000540,中天城投,2016-08-01,0.21
300015,爱尔眼科,2016-08-01,0.17
601808,中海油服,2016-08-01,0.08
002202,金风科技,2016-08-01,0.28
000069,华侨城Ａ,2016-08-01,0.26
600867,通化东宝,2016-08-01,0.25
000157,中联重科,2016-08-01,0.21
600256,广汇能源,2016-08-01,0.16
000061,农 产 品,2016-08-01,0.12
300058,蓝色光标,2016-08-01,0.16
002008,大族激光,2016-08-01,0.22
000402,金 融 街,2016-08-01,0.18
601866,中远海发,2016-08-01,0.15
000009,中国宝安,2016-08-01,0.25
600157,永泰能源,2016-08-01,0.17
002450,康得新,2016-08-01,0.52
601718,际华集团,2016-08-01,0.15
002183,怡 亚 通,2016-08-01,0.18
600895,张江高科,2016-08-01,0.16
601258,庞大集团,2016-08-01,0.14
300146,汤臣倍健,2016-08-01,0.11
002294,信立泰,2016-08-01,0.1
600111,北方稀土,2016-08-01,0.33
601099,太平洋,2016-08-01,0.32
000039,中集集团,2016-08-01,0.12
000977,浪潮信息,2016-08-01,0.16
002230,科大讯飞,2016-08-01,0.3
000729,燕京啤酒,2016-08-01,0.12
300024,机器人,2016-08-01,0.3
000792,盐湖股份,2016-08-01,0.17
000895,双汇发展,2016-08-01,0.28
000559,万向钱潮,2016-08-01,0.19
601933,永辉超市,2016-08-01,0.22
002304,洋河股份,2016-08-01,0.49
000728,国元证券,2016-08-01,0.25
601016,节能风电,2016-08-01,0.02
002081,金 螳 螂,2016-08-01,0.18
000423,东阿阿胶,2016-08-01,0.35
000415,渤海金控,2016-08-01,0.15
300017,网宿科技,2016-08-01,0.4
300315,掌趣科技,2016-08-01,0.23
600839,四川长虹,2016-08-01,0.19
601106,中国一重,2016-08-01,0.16
000538,云南白药,2016-08-01,0.42
000917,电广传媒,2016-08-01,0.22
601989,中国重工,2016-08-01,0.69
000100,TCL 集团,2016-08-01,0.29
000425,徐工机械,2016-08-01,0.15
000063,中兴通讯,2016-08-01,0.39
600827,百联股份,2016-08-01,0.11
300027,华谊兄弟,2016-08-01,0.28
300144,宋城演艺,2016-08-01,0.16
600718,东软集团,2016-08-01,0.2
600739,辽宁成大,2016-08-01,0.22
002007,华兰生物,2016-08-01,0.2
601618,中国中冶,2016-08-01,0.21
000778,新兴铸管,2016-08-01,0.12
001979,招商蛇口,2016-08-01,0.41
600737,中粮屯河,2016-08-01,0.14
002424,贵州百灵,2016-08-01,0.09
300059,东方财富,2016-08-01,0.47
000156,华数传媒,2016-08-01,0.09
000712,锦龙股份,2016-08-01,0.1
002465,海格通信,2016-08-01,0.22
000800,一汽轿车,2016-08-01,0.1
002152,广电运通,2016-08-01,0.14
601991,大唐发电,2016-08-01,0.14
002153,石基信息,2016-08-01,0.09
601958,金钼股份,2016-08-01,0.09
600871,石化油服,2016-08-01,0.08
002385,大北农,2016-08-01,0.19
300133,华策影视,2016-08-01,0.12
002568,百润股份,2016-08-01,0.05
002292,奥飞娱乐,2016-08-01,0.18
000060,中金岭南,2016-08-01,0.19
600489,中金黄金,2016-08-01,0.29
600547,山东黄金,2016-08-01,0.38
601118,海南橡胶,2016-08-01,0.08
000839,中信国安,2016-08-01,0.27
002024,苏宁云商,2016-08-01,0.45
603000,人民网,2016-08-01,0.13
000725,京东方Ａ,2016-08-01,0.64
601608,中信重工,2016-08-01,0.08
600570,恒生电子,2016-08-01,0.32
600446,金证股份,2016-08-01,0.18
300085,银之杰,2016-08-01,0.09
300168,万达信息,2016-08-01,0.19
000413,东旭光电,2016-08-01,0.25
002065,东华软件,2016-08-01,0.18
000825,太钢不锈,2016-08-01,0.09
300002,神州泰岳,2016-08-01,0.14
002195,二三四五,2016-08-01,0.1
600588,用友网络,2016-08-01,0.19
