code,xcode,name,ipo_date,issue_date,amount,markets,price,pe,limit,funds,ballot
600926,730926,杭州银行,2016-10-14,2016-10-27,26175,23558,14.39,10.23,7.8,37.666,0.13
002817,002817,黄山胶囊,2016-10-13,2016-10-25,2167,1950,13.88,22.98,0.85,3.008,0.02
002816,002816,和科达,2016-10-12,2016-10-25,2500,2250,8.29,22.98,1.0,2.072,0.03
603667,732667,五洲新春,2016-10-12,2016-10-25,5060,4554,8.8,22.96,2.0,4.453,0.04
603859,732859,能科股份,2016-10-11,2016-10-21,2839,2555,7.54,22.97,1.1,2.141,0.03
300552,300552,万集科技,2016-10-11,2016-10-21,2670,2403,12.25,20.91,1.05,3.2710000000000004,0.03
300553,300553,集智股份,2016-10-10,2016-10-21,1200,1200,14.08,22.99,1.2,1.69,0.01
300550,300550,和仁科技,2016-09-30,2016-10-18,2000,2000,12.53,22.99,2.0,2.506,0.02
300555,300555,路通视信,2016-09-29,2016-10-18,2000,2000,15.4,22.99,2.0,3.08,0.02
300551,300551,古鳌科技,2016-09-28,2016-10-18,1836,1836,12.48,22.88,1.8,2.291,0.02
603160,732160,汇顶科技,2016-09-28,2016-10-17,4500,4050,19.42,22.99,1.3,8.738999999999999,0.05
603816,732816,顾家家居,2016-09-27,2016-10-14,8250,7425,24.66,22.99,2.4,20.345,0.06
300548,300548,博创科技,2016-09-26,2016-10-12,2067,1860,11.75,22.97,0.8,2.4290000000000003,0.03
603313,732313,梦百合,2016-09-26,2016-10-13,6000,5400,15.41,22.66,2.4,9.246,0.05
603777,732777,来伊份,2016-09-23,2016-10-12,6000,5400,11.67,22.98,2.4,7.002000000000001,0.05
002813,002813,路畅科技,2016-09-23,2016-10-12,3000,2700,6.89,22.97,1.2,2.0669999999999997,0.03
603421,732421,鼎信通讯,2016-09-22,2016-10-11,4340,3906,14.02,22.99,1.3,6.085,0.05
002815,002815,崇达技术,2016-09-22,2016-10-12,5000,4500,16.31,22.98,1.5,8.155,0.04
603887,732887,城地股份,2016-09-21,2016-10-10,2460,2214,12.13,22.97,0.9,3.647,0.03
300547,300547,川环科技,2016-09-21,2016-09-30,1495,1495,22.07,22.99,1.45,3.299,0.02
601128,780128,常熟银行,2016-09-20,2016-09-30,22227,20005,4.28,9.89,6.6,9.513,0.12
300549,300549,优德精密,2016-09-20,2016-09-30,1667,1667,15.03,22.99,1.65,2.506,0.02
300546,300546,雄帝科技,2016-09-19,2016-09-28,1334,1334,20.43,22.99,1.3,2.725,0.01
300545,300545,联得装备,2016-09-14,2016-09-28,1783,1783,13.5,22.98,1.75,2.407,0.02
603738,732738,泰晶科技,2016-09-14,2016-09-28,1668,1668,16.14,22.99,1.6,2.6919999999999997,0.02
600908,730908,无锡银行,2016-09-08,2016-09-23,18481,16633,4.47,9.91,5.5,8.261000000000001,0.1
300536,300536,农尚环境,2016-09-06,2016-09-20,2328,2095,9.06,18.12,0.9,2.11,0.03
601500,780500,通用股份,2016-09-05,2016-09-19,17492,15743,4.92,22.98,5.2,8.606,0.1
300542,300542,新晨科技,2016-09-05,2016-09-20,2255,2030,8.21,22.98,0.85,1.851,0.03
300541,300541,先进数通,2016-09-02,2016-09-13,3000,2700,11.07,22.98,1.2,3.321,0.03
603189,732189,网达软件,2016-09-02,2016-09-14,5520,4968,7.26,22.97,2.2,4.008,0.05
