code,name,concept
000509,华塑控股,['未股改' '装饰园林' '成渝特区']
000510,金路集团,['参股金融' '成渝特区' '摘帽概念' '准ST股' '石墨烯' '金融参股']
000511,*ST烯碳,['信托重仓' '涉矿概念' '稀土永磁' 'ST板块' '石墨烯' '振兴沈阳']
000513,丽珠集团,['超级细菌' '广东自贸' '甲型流感' '基因概念' '粤港澳' '含H股' '金融参股']
000514,渝 开 发,['参股金融' '成渝特区']
000516,国际医学,['民营医院' '参股金融' '陕甘宁' '新三板']
000517,荣安地产,['业绩预升']
000518,四环生物,['生物疫苗' '抗癌']
000519,中兵红箭,['重组概念' '军工航天' '成渝特区' '准ST股']
000520,长航凤凰,['整体上市' '准ST股']
000521,美菱电器,['新能源' '券商重仓' '含B股' '皖江区域' '智能家居']
000523,广州浪奇,['土地流转' '广东自贸' '股权激励' '粤港澳']
000525,红 太 阳,['沿海发展' '草甘膦']
000526,紫光学大,['海峡西岸']
000528,柳 工,['融资融券' '券商重仓']
000529,广弘控股,['O2O模式' '粤港澳' '猪肉']
000530,大冷股份,['食品安全' '参股金融' '地热能' '含B股' '金融参股' '振兴沈阳']
000531,穗恒运Ａ,['广东自贸' '参股金融']
000532,力合股份,['固废处理' '循环经济' 'IPV6概念' '业绩预升' '创投概念' '粤港澳' '新三板' '污水处理' '石墨烯']
000533,万 家 乐,['太阳能' '新能源' '参股金融' '业绩预升' '金融参股']
000534,万泽股份,['涉矿概念' '股权激励']
000536,华映科技,['信托重仓' '触摸屏' '保险重仓' '海峡西岸']
000537,广宇发展,['土地流转' '京津冀']
000538,云南白药,['融资融券' 'QFII重仓' '基金重仓' '业绩预升' '创投概念' '保险重仓' '金融参股']
000539,粤电力Ａ,['融资融券' '风能概念' '新能源' '业绩预升' '新三板' '含B股' '风能']
000540,中天城投,['融资融券' '涉矿概念' '股权激励' '页岩气' '参股金融' '业绩预升' '保障房' '金融参股' '稀缺资源']
000541,佛山照明,['绿色照明' '含B股' '金融参股' '外资背景' '低碳经济']
000543,皖能电力,['参股金融' '业绩预升' '皖江区域' '金融参股']
000544,中原环保,['节能环保' '重组概念' '参股金融' '污水处理' '业绩预降']
000545,金浦钛业,['图们江' '业绩预升']
000546,金圆股份,['固废处理' '图们江']
000547,航天发展,['涉矿概念' '军工航天' '金融参股' '海峡西岸']
000548,湖南投资,['业绩预降' '长株潭']
000550,江铃汽车,['融资融券' '社保重仓' '含B股']
000551,创元科技,['节能环保' '沿海发展' '参股金融' '新三板' '空气治理' '智能电网' '金融参股' '分拆上市']
000552,靖远煤电,['陕甘宁' '业绩预升']
000553,沙隆达Ａ,['出口退税' '重组概念' '参股金融' '业绩预升' '含B股' '草甘膦' '金融参股']
000554,泰山石油,['油气改革']
000557,西部创业,['陕甘宁' '摘帽概念']
000558,莱茵体育,['体育概念' '振兴沈阳']
000559,万向钱潮,['融资融券' '锂电池' '特斯拉' '金融参股']
000560,昆百大Ａ,['股权激励' '参股金融' '业绩预降']
000561,烽火电子,['股权激励' '陕甘宁' '军工航天' '本月解禁']
000563,陕国投Ａ,['陕甘宁' '金融参股']
000564,西安民生,['重组概念' 'O2O模式' '参股金融' '陕甘宁' '丝绸之路' '内贸规划' '资产注入' '本月解禁' '金融参股']
000565,渝三峡Ａ,['重组概念' '成渝特区' '石墨烯' '金融参股']
000566,海南海药,['三沙概念' '股权激励' '社保重仓' '抗癌']
000567,海德股份,['三沙概念']
000568,泸州老窖,['融资融券' '股权激励' '基金重仓' '成渝特区' '金融参股']
000570,苏常柴Ａ,['沿海发展' '参股金融' '含B股' '金融参股']
000571,新大洲Ａ,['锂电池' '燃料电池']
000572,海马汽车,['股权激励' '业绩预升' '券商重仓']
000573,粤宏远Ａ,['业绩预升' '股期概念' '金融参股']
000576,广东甘化,['重组概念' '生物质能' '业绩预降']
000581,威孚高科,['融资融券' '基金重仓' '含B股' '空气治理' '金融参股']
000582,北部湾港,['海上丝路']
000584,友利控股,['聚氨酯' '成渝特区' '金融参股']
000585,东北电气,['含H股' '智能电网']
000586,汇源通信,['成渝特区' '空气治理']
000587,金洲慈航,['黄金概念' '未股改' '重组概念']
000589,黔轮胎Ａ,['出口退税' '参股金融' '业绩预升']
000590,启迪古汉,['高校背景' '摘帽概念' '业绩预降' '长株潭']
000591,太阳能,['太阳能']
000592,平潭发展,['赛马概念' '金融改革' '参股金融' '风沙治理' '海峡西岸']
000593,大通燃气,['成渝特区']
000595,宝塔实业,['陕甘宁' '军工航天' '铁路基建']
000596,古井贡酒,['融资融券' '含B股']
000597,东北制药,['生物疫苗' '出口退税' '维生素' '甲型流感' '准ST股' '振兴沈阳']
000598,兴蓉环境,['节能环保' '成渝特区' '海水淡化' '券商重仓' '污水处理' '保险重仓']
000599,青岛双星,['出口退税' '体育概念' '自贸区' '日韩贸易' '东亚自贸']
000600,建投能源,['参股金融' '资产注入' '业绩预升']
000601,韶能股份,['生物质能' '粤港澳' '充电桩' '低碳经济']
000603,盛达矿业,['重组概念' '参股金融' '新三板']
000605,渤海股份,['污水处理']
000606,*ST易桥,['重组概念' '创投概念' '准ST股' 'ST板块']
000607,华媒控股,['成渝特区' '业绩预升' '新三板']
000608,阳光股份,['信托重仓' '资产注入' '外资背景']
000609,绵石投资,['参股金融' '新三板' '铁路基建']
000610,西安旅游,['陕甘宁' '丝绸之路']
000611,*ST天首,['聚氨酯' '业绩预升' 'ST板块' '云计算']
000612,焦作万方,['股权激励' '参股金融' '业绩预升' '金融参股']
000613,大东海A,['三沙概念' '含B股']
000615,京汉股份,['重组概念' '参股金融' '金融参股']
000616,海航投资,['QFII重仓' '风能']
000617,*ST济柴,['重组概念' '准ST股' 'ST板块']
000619,海螺型材,['节能环保' '保障房' '皖江区域' '建筑节能' '低碳经济']
000620,新华联,['土地流转' '参股金融' '业绩预升' '保障房' '民营银行']
000622,*ST恒立,['ST板块']
000623,吉林敖东,['融资融券' '参股金融' '券商重仓' '金融参股']
000625,长安汽车,['融资融券' '基金重仓' '军工航天' '成渝特区' '业绩预升' '含B股' '氢燃料' '金融参股']
000626,远大控股,['金融改革' '沿海发展' '参股金融' '业绩预升' '金融参股']
000627,天茂集团,['新能源' '参股金融' '创投概念' '绿色照明' '准ST股' '金融参股']
000628,高新发展,['参股金融' '成渝特区' '创投概念' '股期概念' '新三板' '金融参股']
000629,*ST钒钛,['融资融券' '信托重仓' '成渝特区' '券商重仓' '整体上市' '业绩预降' 'ST板块' '铁路基建' '稀缺资源']
000630,铜陵有色,['融资融券' '基金重仓' '循环经济' '皖江区域' '稀缺资源']
000631,顺发恒业,['图们江' '业绩预降']
000632,三木集团,['参股金融' '海峡西岸']
000633,*ST合金,['ST板块']
000635,英 力 特,['陕甘宁' '丝绸之路']
000636,风华高科,['锂电池' '触摸屏' '稀土永磁']
000637,茂化实华,['信托重仓' '油气改革' '业绩预升']
000638,万方发展,['重组概念' '京津冀']
000639,西王食品,['业绩预升' '本月解禁' '黄河三角']
000650,仁和药业,['股权激励']
000651,格力电器,['融资融券' 'QFII重仓' '基金重仓' '国企改革' '民营银行']
000652,泰达股份,['固废处理' '循环经济' '参股金融' '体育概念' '生物质能' '空气治理' '金融参股' '分拆上市' '低碳经济']
000655,金岭矿业,['黄河三角']
000656,金科股份,['太阳能' '装饰园林' '页岩气' '成渝特区' '民营银行' '风能']
000657,中钨高新,['创投概念']
000659,珠海中富,['广东自贸' '粤港澳' '摘帽概念' '外资背景']
000661,长春高新,['生物疫苗' '图们江' '社保重仓' '基因概念' '业绩预升' '券商重仓' '新三板' '分拆上市']
000663,永安林业,['重组概念' '参股金融' '准ST股' '风沙治理' '金融参股' '海峡西岸' '稀缺资源']
000665,湖北广电,['文化振兴' '安防服务' '武汉规划' '三网融合']
000666,经纬纺机,['参股金融' '金融参股']
